"id";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"F8";"F9";"F10";"FDR1";"FDR2";"FDR3";"FDR4";"FDR5";"FDR6";"FDR7";"FDR8";"FDR9";"FDR10"
"38";38;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"39";39;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"40";40;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"41";41;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"42";42;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"43";43;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"44";44;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"45";45;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"46";46;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"47";47;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"48";48;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"49";49;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"50";50;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"51";51;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"52";52;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"53";53;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"54";54;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"55";55;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"56";56;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"57";57;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"58";58;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"59";59;"WAT(A)";"WBA(H)";"BOU(A)";"NEW(H)";"ARS(A)";"EVE(H)";"WHU(A)";"SOU(H)";"SWA(A)";"STK(H)";"2";"2";"2";"2";"4";"3";"2";"2";"2";"2"
