"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
283;"McTominay";44;1;1;NA;NA;NA;NA
364;"Montero";49;1;NA;1;NA;NA;NA
386;"Lamela";64;1;NA;1;NA;NA;NA
413;"Success";54;1;NA;1;NA;NA;NA
439;"Randolph";45;1;NA;1;NA;NA;NA
460;"Valencia";50;1;NA;1;NA;NA;NA
481;"Brown";54;1;NA;1;NA;NA;NA
489;"Nelson";50;1;NA;1;NA;NA;NA
493;"Diaz";50;1;NA;1;NA;NA;NA
502;"Mangala";50;1;NA;1;NA;NA;NA
513;"Martins Indi";50;1;1;NA;NA;NA;NA
515;"Kaikai";45;1;NA;1;NA;NA;NA
516;"Saivet";45;1;NA;1;NA;NA;NA
523;"Ibrahimovic";100;1;1;NA;NA;NA;NA
