"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost"
"3301283";"157";"0";"0";"";"1006";"35";"2";"0"
"3430001";"157";"0";"0";"freehit";"1003";"18";"0";"0"
"19130";"173";"0";"0";"3xc";"1007";"10";"2";"4"
"204483";"173";"0";"0";"";"1007";"0";"1";"0"
"899129";"173";"0";"0";"";"1007";"5";"0";"0"
"1217257";"173";"0";"0";"";"1009";"0";"0";"0"
"1336287";"173";"0";"0";"";"1006";"0";"0";"0"
"1542612";"173";"0";"0";"";"1008";"0";"0";"0"
"1854606";"173";"0";"0";"";"1008";"0";"1";"0"
"2286525";"173";"0";"0";"";"1006";"5";"1";"0"
"2574050";"173";"0";"0";"";"1010";"4";"1";"0"
"2710242";"173";"0";"0";"";"1008";"0";"0";"0"
"2816312";"173";"0";"0";"";"1006";"33";"1";"0"
"3007025";"173";"0";"0";"";"1009";"8";"1";"0"
"3397024";"173";"0";"0";"";"1010";"4";"1";"0"
"3874967";"173";"0";"0";"";"1007";"0";"0";"0"
"476801";"187";"0";"0";"";"1013";"0";"1";"0"
"1189115";"187";"0";"0";"";"1010";"0";"1";"0"
"2726536";"189";"0";"0";"wildcard";"1006";"1";"0";"0"
"32063";"190";"0";"0";"";"1009";"0";"0";"0"
"156373";"190";"0";"0";"";"1009";"0";"2";"0"
"254952";"190";"0";"0";"";"1008";"0";"2";"0"
"375395";"190";"0";"0";"";"1007";"10";"0";"0"
"429510";"190";"0";"0";"";"1012";"19";"2";"0"
"645408";"190";"0";"0";"";"1003";"10";"7";"20"
"759455";"190";"0";"0";"";"1006";"0";"0";"0"
"808808";"190";"0";"0";"";"1006";"5";"0";"0"
"895117";"190";"0";"0";"";"1012";"5";"3";"8"
"1206506";"190";"0";"0";"";"1008";"10";"2";"0"
"1215125";"190";"0";"0";"";"1008";"0";"0";"0"
"1534945";"190";"0";"0";"";"1009";"3";"2";"0"
"1592829";"190";"0";"0";"";"1008";"5";"1";"0"
"1987783";"190";"0";"0";"";"1007";"0";"0";"0"
"2725823";"190";"0";"0";"";"1009";"0";"0";"0"
"3120806";"190";"0";"0";"";"1007";"28";"2";"0"
"3179439";"190";"0";"0";"wildcard";"1006";"6";"0";"0"
"5847";"207";"0";"0";"";"1011";"0";"1";"0"
