"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
139;"Coleman";"0.2";64;2;NA;2;NA;NA;NA
183;"Palmer";"0.0";53;2;NA;2;NA;NA;NA
238;"Origi";"0.2";74;2;NA;2;NA;NA;NA
265;"Shaw";"0.1";49;2;NA;2;NA;NA;NA
336;"Tymon";"0.0";44;2;NA;2;NA;NA;NA
339;"Whelan";"0.0";45;2;NA;2;NA;NA;NA
363;"Ki Sung-yueng";"0.0";49;2;2;NA;NA;NA;NA
364;"Montero";"0.0";49;2;NA;2;NA;NA;NA
428;"Morrison";"0.0";54;2;NA;2;NA;NA;NA
489;"Nelson";"0.0";48;2;NA;2;NA;NA;NA
504;"Scott";"0.1";44;2;NA;2;NA;NA;NA
510;"Rice";"0.0";44;2;NA;2;NA;NA;NA
537;"Zeegelaar";"0.1";44;2;2;NA;NA;NA;NA
44;"Gradel";"0.0";50;1;NA;1;NA;NA;NA
68;"Norwood";"0.0";45;1;NA;1;NA;NA;NA
110;"Kenedy";"0.0";48;1;NA;1;NA;NA;NA
114;"Costa";"0.4";95;1;NA;1;NA;NA;NA
147;"Bolasie";"0.1";64;1;NA;1;NA;NA;NA
150;"McCarthy";"0.0";49;1;NA;1;NA;NA;NA
177;"Payne";"0.0";45;1;NA;1;NA;NA;NA
344;"Bojan";"0.0";55;1;NA;1;NA;NA;NA
386;"Lamela";"0.0";63;1;NA;1;NA;NA;NA
395;"Janssen";"0.1";74;1;NA;1;NA;NA;NA
412;"Amrabat";"0.0";50;1;NA;1;NA;NA;NA
455;"Feghouli";"0.0";55;1;NA;1;NA;NA;NA
476;"Pereira";"0.0";49;1;NA;1;NA;NA;NA
492;"Foden";"0.0";47;1;NA;1;NA;NA;NA
507;"Harper";"0.0";45;1;NA;1;NA;NA;NA
513;"Martins Indi";"0.0";49;1;1;NA;NA;NA;NA
516;"Saivet";"0.0";44;1;NA;1;NA;NA;NA
538;"Schelotto";"0.0";44;1;1;NA;NA;NA;NA
544;"Lumeka";"0.0";45;1;NA;1;NA;1;NA
546;"Maitland-Niles";"0.0";45;1;NA;1;NA;NA;NA
